Chem. Formel,Fluid,Medium (deutsch),Meidum (svenska),"""Medium"" (rumänisch)",Conc %,Temp. øC,"1.4571 
SS","Titan-
ium","Tanta-
lum","Hast-
elloy C","Plat-
inum",Al3O,PTFE,"Neo-
prene","Hart 
rubber",PFA
HCl,Hydrochlorid acid,Salzsäure,,,37,150,,C,A,C,A,A,A,C,C,A
H2SO3,Sulphurous acid,Schwefelige Säure,Svavelhaltigsyra,,sat.,Amb. Temp.,,A,A,A,A,A,A,B,B,
CS,Sulfur monochloride,Schwefelmonochlorid,Svavelmonoklorid,,,Amb. Temp.,B,C,A,A,,A,A,C,C,
CS,Sulfur monochloride,Schwefelmonochlorid,Svavelmonoklorid,,,boiling,B,C,A,A,,A,A,C,C,
H2SO4,Sulfuric acid,Schwefelsäure,Svavelsyra,,2,Amb. Temp.,A,A,A,A,A,A,A,A,A,A
H2SO4,Sulfuric acid,Schwefelsäure,,,2,150,C,A,A,B,A,,A,A,B,A
H2SO4,Sulfuric acid,Schwefelsäure,,,5,Amb. Temp.,A,A,A,A,A,A,A,A,A,A
H2SO4,Sulfuric acid,Schwefelsäure,,,5,150,C,A,A,B,A,,A,A,B,A
H2SO4,Sulfuric acid,Schwefelsäure,,,10,Amb. Temp.,A,A,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,Svavelsyra,,10,150,C,B,A,B,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,25,Amb. Temp.,C,A,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,25,150,C,C,A,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,50,Amb. Temp.,C,B,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,50,150,C,C,A,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,60,Amb. Temp.,C,B,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,60,150,C,C,A,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,77,Amb. Temp.,C,C,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,77,150,C,C,B,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,80,Amb. Temp.,C,C,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,80,150,,C,B,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,85,Amb. Temp.,,C,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,85,150,,C,C,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,90,Amb. Temp.,A,C,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,90,150,C,C,C,C,A,,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,96,Amb. Temp.,A,C,A,A,A,A,A,C,C,A
H2SO4,Sulfuric acid,Schwefelsäure,,,96,150,C,C,C,C,A,,A,C,C,A
H2S,Hydrogen sulfide,Schwefelwasserstoff,Svavelv„te,,,Amb. Temp.,A,A,A,A,A,A,A,B,C,A
H2S,Hydrogen sulfide,Schwefelwasserstoff,,,,100,A,A,A,A,A,A,A,C,C,A
H2O,Seawater,Seewasser,Havsvatten,,,Amb. Temp.,B,A,A,A,A,A,A,A,A,
NaCl,Brine,Sole (Salzlake),Saltlake,,techn.,Amb. Temp.,B,A,A,A,A,A,A,A,A,
NaCl,Brine,Sole (Salzlake),,,,boiling,B,A,A,A,A,A,A,A,A,
CCl4,Carbon tetra chlorine,Tetrachlorkohlenstoff,Kolteraklorin,,,Amb. Temp.,B,A,A,A,,A,A,C,C,A
C2H3Cl3,Trichloroethylene,Trichlorethylen,Trikloretylen,,,Amb. Temp.,B,A,A,A,,A,A,C,C,A
C4H6O6,Tartaric acid,Wein(stein)säure,Vinsyra,,all,Amb. Temp.,A,A,A,A,A,A,A,A,A,
C4H6O6,Tartaric acid,Wein(stein)säure,,,all,boiling,C,A,A,B,A,A,A,A,A,
ZnCl2,Zinc chloride,Zinkchlorid,Zinkklorid,,10,Amb. Temp.,B,A,A,A,,A,A,A,B,
ZnCl2,Zinc chloride,Zinkchlorid,,,10,boiling,B,A,A,A,A,A,A,A,B,
ZnCl2,Zinc chloride,Zinkchlorid,,,20,Amb. Temp.,B,A,A,A,,A,A,A,B,A
ZnCl2,Zinc chloride,Zinkchlorid,,,20,boiling,B,A,A,A,,A,A,A,B,
ZnCl2,Zinc chloride,Zinkchlorid,,,60,Amb. Temp.,B,A,A,A,,A,A,A,B,
ZnCl2,Zinc chloride,Zinkchlorid,,,60,boiling,B,B,A,B,,A,A,A,B,
ZnCl2,Zinc chloride,Zinkchlorid,,,100,boiling,C,C,A,B,,A,A,A,B,
SnCl2,Tin chloride,Zinnchlorid,Tennklorid,,all,Amb. Temp.,B,A,A,A,,A,A,A,A,
SnCl2,Tin chloride,Zinnchlorid,,,all,150,C,A,A,A,,A,A,A,A,
,Citric acid,Zitronensäure,Citronsyra,,5,Amb. Temp.,A,A,A,A,A,A,A,A,A,
,Citric acid,Zitronensäure,,,5,boiling,A,A,A,A,A,A,A,A,A,
,Citric acid,Zitronensäure,,,25,Amb. Temp.,A,A,A,A,A,A,A,A,A,
,Citric acid,Zitronensäure,,,25,boiling,A,A,A,A,A,A,A,A,A,
,Citric acid,Zitronensäure,,,50,Amb. Temp.,A,A,A,A,A,A,A,A,A,
,Citric acid,Zitronensäure,Citronsyra,,50,boiling,A,B,A,A,A,A,A,A,A,
KCN,Potassium cyanide,Zyankali,Kaliumcyanid,,10,Amb. Temp.,A,C,A,,A,A,A,A,B,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
A,excellent,,,,,,,,,,,,,,,
B,good,,,,,,,,,,,,,,,
C,not aceptable,,,,,,,,,,,,,,,
X,X not aceptable for electrodes,,,,,,,,,,,,,,,
RT,ambient temp,,,,,,,,,,,,,,,
S,boiling,,,,,,,,,,,,,,,
